image1,image2,similar,elapsed in sec
./Images/original_golden_bridge.jpg,./Images/original_golden_bridge.jpg,0,4.17
./Images/blue_filter.jpg,./Images/george-washington-bridge.jpg,1,11.33
./Images/duplicate.jpg,./Images/cntower.png,1,12.47
./Images/different-golden-gate-bridge.jpg,./Images/textured.jpg,1,19.16
./Images/original_golden_bridge.jpg,./Images/different-golden-gate-bridge.jpg,1,23.75
./Images/original_golden_bridge.jpg,./Images/sharpened.jpg,0.53,29.97
./Images/original_golden_bridge.jpg,./Images/old_photo.jpg,0.64,35.12
